release_date,version_number,codename,duck_species,wikipage
2024-06-03,1.0.0,Nivis,Snow duck (Anas nivis),
2024-05-22,0.10.3,,,
2024-04-17,0.10.2,,,
2024-03-18,0.10.1,,,
2024-02-13,0.10.0,Fusca,Velvet scoter (Melanitta fusca),https://en.wikipedia.org/wiki/Velvetscoter
2023-11-14,0.9.2,,,
2023-10-11,0.9.1,,,
2023-09-26,0.9.0,Undulata,Yellow-billed duck (Anas undulata),https://en.wikipedia.org/wiki/Yellow-billedduck
2023-06-13,0.8.1,,,
2023-05-17,0.8.0,Fulvigula,Mottled duck (Anas fulvigula),https://en.wikipedia.org/wiki/Mottledduck
2023-02-27,0.7.1,,,
2023-02-13,0.7.0,Labradorius,Labrador duck (Camptorhynchus labradorius),https://en.wikipedia.org/wiki/Labradorduck
2022-12-06,0.6.1,,,
2022-11-14,0.6.0,Oxyura,White-headed duck (Oxyura leucocephala),https://en.wikipedia.org/wiki/White-headedduck
2022-09-19,0.5.1,,,
2022-09-05,0.5.0,Pulchellus,Green pygmy goose (Nettapus pulchellus),https://en.wikipedia.org/wiki/Greenpygmygoose
2022-06-20,0.4.0,Ferruginea,Andean duck (Oxyura ferruginea),https://en.wikipedia.org/wiki/Andeanduck
2022-04-11,0.3.3,Sansaniensis,Chenoanas sansaniensis,https://species.wikimedia.org/wiki/Chenoanassansaniensis
2022-02-07,0.3.2,Gibberifrons,Sunda teal (Anas gibberifrons),https://en.wikipedia.org/wiki/Sundateal
2021-11-16,0.3.1,Spectabilis,King eider (Somateria spectabilis),https://en.wikipedia.org/wiki/Kingeider
2021-10-06,0.3.0,Gracilis,Grey teal (Anas gracilis),https://en.wikipedia.org/wiki/Greyteal
2021-09-06,0.2.9,Platyrhynchos,Mallard (Anas platyrhynchos),https://en.wikipedia.org/wiki/Mallard
2021-08-02,0.2.8,Ceruttii,Histrionicus ceruttii,https://en.wikipedia.org/wiki/Harlequinduck#Taxonomy
2021-06-14,0.2.7,Mollissima,Common eider (Somateria mollissima),https://en.wikipedia.org/wiki/Commoneider
2021-05-08,0.2.6,Jamaicensis,Blue-billed ruddy duck (Oxyura jamaicensis),https://en.wikipedia.org/wiki/Ruddyduck
2021-03-10,0.2.5,Falcata,Falcated duck (Mareca falcata),https://en.wikipedia.org/wiki/Falcatedduck
2021-02-02,0.2.4,Jubata,Australian wood duck (Chenonetta jubata),https://en.wikipedia.org/wiki/Australianwoodduck
2020-12-03,0.2.3,Serrator,Red-breasted merganser (Mergus serrator),https://en.wikipedia.org/wiki/Red-breastedmerganser
2020-11-01,0.2.2,Clypeata,Northern shoveler (Spatula clypeata),https://en.wikipedia.org/wiki/Northernshoveler
2020-08-29,0.2.1,,,
2020-07-23,0.2.0,,,
2020-06-19,0.1.9,,,
2020-05-29,0.1.8,,,
2020-05-04,0.1.7,,,
2020-04-05,0.1.6,,,
2020-03-02,0.1.5,,,
2020-02-03,0.1.3,,,
2020-01-06,0.1.2,,,
2019-09-24,0.1.1,,,
2019-06-27,0.1.0,,,
