municipality,province,population
Amsterdam,North Holland,905234
Rotterdam,South Holland,656050
The Hague,South Holland,552995
Utrecht,Utrecht,361924
Eindhoven,North Brabant,238478
Groningen,Groningen,234649
Tilburg,North Brabant,224702
Almere,Flevoland,218096
Breda,North Brabant,184716
Nijmegen,Gelderland,179073
Apeldoorn,Gelderland,165648
Arnhem,Gelderland,164096
Haarlem,North Holland,162914
Enschede,Overijssel,160383
Haarlemmermeer,North Holland,159346
Amersfoort,Utrecht,158712
Zaanstad,North Holland,157215
's-Hertogenbosch,North Brabant,156599
Zwolle,Overijssel,130872
Leeuwarden,Friesland,127088
