MWh,Date,Plant
564337,2019-01-02,Boston
507405,2019-01-03,Boston
528523,2019-01-04,Boston
469538,2019-01-05,Boston
474163,2019-01-06,Boston
507213,2019-01-07,Boston
613040,2019-01-08,Boston
582588,2019-01-09,Boston
499506,2019-01-10,Boston
482014,2019-01-11,Boston
486134,2019-01-12,Boston
531518,2019-01-13,Boston
118860,2019-01-02,Worcester
101977,2019-01-03,Worcester
106054,2019-01-04,Worcester
92182,2019-01-05,Worcester
94492,2019-01-06,Worcester
99932,2019-01-07,Worcester
118854,2019-01-08,Worcester
113506,2019-01-09,Worcester
96644,2019-01-10,Worcester
93806,2019-01-11,Worcester
98963,2019-01-12,Worcester
107170,2019-01-13,Worcester
